Index	Question	Parse
7	college_2: what is the name and building of the departments who have a budget within the first order outlier range? | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select dept_name , building from department where budget > (select avg(budget) - STDEV(budget) from department)
7	college_2: find the departments who have a budget within the first order outlier range? | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select dept_name from department where budget > (select avg(budget) - STDEV(budget) from department)
8	college_2: give the name and building of the departments with a budget that lies in first order outlier range. | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select dept_name , building from department where budget > (select avg(budget) - STDEV(budget) from department)
8	college_2: what are the distinct buildings of the departments with a budget that lies in first order outlier range. | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select distinct(building) from department where budget > (select avg(budget) - STDEV(budget) from department)
9	college_2: find the name and budget of departments whose budgets are in first order outlier range. | classroom : building , room_number , capacity | department : dept_name , building , budget | course : course_id , title , dept_name , credits | instructor : id , name , dept_name , salary | section : course_id , sec_id , semester , year , building , room_number , time_slot_id | teaches : id , course_id , sec_id , semester , year | student : id , name , dept_name , tot_cred | takes : id , course_id , sec_id , semester , year , grade | advisor : s_id , i_id | time_slot : time_slot_id , day , start_hr , start_min , end_hr , end_min | prereq : course_id , prereq_id	select dept_name , budget from department where budget > (select avg(budget) - STDEV(budget) from department)
12	customers_and_invoices: show ids for all transactions whose amounts are within first order outlier range. | customers : customer_id , customer_first_name , customer_middle_initial , customer_last_name , gender , email_address , login_name , login_password , phone_number , town_city , state_county_province , country | orders : order_id , customer_id , date_order_placed , order_details | invoices : invoice_number , order_id , invoice_date | accounts : account_id , customer_id , date_account_opened , account_name , other_account_details | product_categories : production_type_code , product_type_description , vat_rating | products : product_id , parent_product_id , production_type_code , unit_price , product_name , product_color , product_size | financial_transactions : transaction_id , account_id , invoice_number , transaction_type , transaction_date , transaction_amount , transaction_comment , other_transaction_details | order_items : order_item_id , order_id , product_id , product_quantity , other_order_item_details | invoice_line_items : order_item_id , invoice_number , product_id , product_title , product_quantity , product_price , derived_product_cost , derived_vat_payable , derived_total_cost	select transaction_id from financial_transactions where transaction_amount > (select avg(transaction_amount) - STDEV(transaction_amount) from financial_transactions)
13	customers_and_invoices: what are the ids for transactions that have an amount lying in first order outlier range? | customers : customer_id , customer_first_name , customer_middle_initial , customer_last_name , gender , email_address , login_name , login_password , phone_number , town_city , state_county_province , country | orders : order_id , customer_id , date_order_placed , order_details | invoices : invoice_number , order_id , invoice_date | accounts : account_id , customer_id , date_account_opened , account_name , other_account_details | product_categories : production_type_code , product_type_description , vat_rating | products : product_id , parent_product_id , production_type_code , unit_price , product_name , product_color , product_size | financial_transactions : transaction_id , account_id , invoice_number , transaction_type , transaction_date , transaction_amount , transaction_comment , other_transaction_details | order_items : order_item_id , order_id , product_id , product_quantity , other_order_item_details | invoice_line_items : order_item_id , invoice_number , product_id , product_title , product_quantity , product_price , derived_product_cost , derived_vat_payable , derived_total_cost	select transaction_id from financial_transactions where transaction_amount > (select avg(transaction_amount) - STDEV(transaction_amount) from financial_transactions)
14	csu_1: find the count of universities whose campus fee is in first order outlier range. | campuses : id , campus , location , county , year | csu_fees : campus , year , campusfee | degrees : year , campus , degrees | discipline_enrollments : campus , discipline , year , undergraduate , graduate | enrollments : campus , year , totalenrollment_ay , fte_ay | faculty : campus , year , faculty	select count(*) from csu_fees where campusfee > (select avg(campusfee) - STDEV(campusfee) from csu_fees)
15	csu_1: how many universities have a campus fee within the first order outlier range? | campuses : id , campus , location , county , year | csu_fees : campus , year , campusfee | degrees : year , campus , degrees | discipline_enrollments : campus , discipline , year , undergraduate , graduate | enrollments : campus , year , totalenrollment_ay , fte_ay | faculty : campus , year , faculty	select count(*) from csu_fees where campusfee > (select avg(campusfee) - STDEV(campusfee) from csu_fees)
16	csu_1: find the number of universities where the campus fee is in first order outlier range. | campuses : id , campus , location , county , year | csu_fees : campus , year , campusfee | degrees : year , campus , degrees | discipline_enrollments : campus , discipline , year , undergraduate , graduate | enrollments : campus , year , totalenrollment_ay , fte_ay | faculty : campus , year , faculty	select count(*) from csu_fees where campusfee > (select avg(campusfee) - STDEV(campusfee) from csu_fees)
17	inn_1: find the name of rooms whose price is within first order outlier range. | rooms : roomid , roomname , beds , bedtype , maxoccupancy , baseprice , decor | reservations : code , room , checkin , checkout , rate , lastname , firstname , adults , kids	select roomname from rooms where baseprice > ( select avg(baseprice) - STDEV(baseprice) from rooms );
18	inn_1: what are the name of rooms that have a cost within first order outlier range. | rooms : roomid , roomname , beds , bedtype , maxoccupancy , baseprice , decor | reservations : code , room , checkin , checkout , rate , lastname , firstname , adults , kids	select roomname from rooms where baseprice > ( select avg(baseprice) - STDEV(baseprice) from rooms );
19	manufactory_1: find the name of companies whose revenue lies in first order outlier range. | manufacturers : code , name , headquarter , founder , revenue | products : code , name , price , manufacturer	select name from manufacturers where revenue > (select avg(revenue) - STDEV(revenue) from manufacturers)
20	manufactory_1: what are the names of manufacturers with a revenue that is in first order outlier range? | manufacturers : code , name , headquarter , founder , revenue | products : code , name , price , manufacturer	select name from manufacturers where revenue > (select avg(revenue) - STDEV(revenue) from manufacturers)
21	dorm_1: find the number of students whose age is within the first order outlier range for each gender. | student : stuid , lname , fname , age , sex , major , advisor , city_code | dorm : dormid , dorm_name , student_capacity , gender | dorm_amenity : amenid , amenity_name | has_amenity : dormid , amenid | lives_in : stuid , dormid , room_number	select count(*) , sex from student where age > (select avg(age) - STDEV(age) from student) group by sex
